hospital_id,city_specialization,hospital_name,city,province,city_encoded,province_encoded,specialization,specialization_count,fees_min,fees_max,contact_person_available,phone_available,website_available,contact_completeness,price_category,reputation_score,recommendation_priority
1,"Rawalpindi -> Cardiology, General, Gynaecology, Medical, Multi-Disciplinary, Obstetrics, Radiology, Surgery, Tourism, Urology, and",Pak Emirates Military Hospital (PEMH),Rawalpindi,Punjab,5,2,Multi-Disciplinary,1,50000,60000,0,1,0,33,MEDIUM,70,3
2,"Rawalpindi -> Cardiology, General, Gynaecology, Medical, Multi-Disciplinary, Obstetrics, Radiology, Surgery, Tourism, Urology, and",MedAsk Tours,Rawalpindi,Punjab,5,2,Medical Tourism,1,45000,60000,1,1,1,100,MEDIUM,75,2
3,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",Agha Khan University Hospital,Karachi,Sindh,1,3,Cardiology Dental Oncology Orthopedics Cosmetic Surgery,5,40000,60000,1,1,1,100,MEDIUM,95,1
4,"Lahore -> Cancer, Cardiology, Cosmetic, Gastroenlerology, General, Gynaecology, Hip, Knee, Medicines, Neurosurgery, Obstetrics, Orthopedics, Otology, Pulmonology, Replacement, Surgery, Transplant, Treatment, and",Shoukat Khanum M Hospital,Lahore,Punjab,2,2,Cancer Treatment,1,30000,60000,1,1,1,100,MEDIUM,100,1
5,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Shoukat Khanum M Hospital,Peshawar,KPK,4,4,Cancer Treatment,1,25000,40000,1,1,1,100,LOW,100,1
6,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Shifa International,Islamabad,Federal Capital,3,1,Cardiology Dental Oncology Orthopedics Cosmetic Surgery Pulmonology Transplant,6,50000,80000,1,1,1,100,HIGH,95,1
7,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",E-Shifa,Islamabad,Federal Capital,3,1,Cardiology Dental Oncology Orthopedics Cosmetic Surgery Pulmonology Transplant,6,70000,100000,1,1,1,100,PREMIUM,90,2
8,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",All Medical Centre,Islamabad,Federal Capital,3,1,General Surgery Neurosurgery Obstetrics and Gynaecology Orthopedics Transplant,5,100000,150000,1,1,1,100,PREMIUM,85,3
9,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Quaid-e-Azam International Hospital,Islamabad,Federal Capital,3,1,Cardiology Dental Orthopedics Transplant,4,65000,90000,1,1,1,100,HIGH,80,2
10,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Rehman Medical Institute,Peshawar,KPK,4,4,Cardiology Dental Orthopedics Transplant,4,85000,95000,1,1,1,100,HIGH,80,2
