query,hospital_id,hospital_name,label,pred
Multi-Disciplinary Rawalpindi,1,Pak Emirates Military Hospital (PEMH),1,1
Multi-Disciplinary Rawalpindi,2,MedAsk Tours,0,1
Multi-Disciplinary Rawalpindi,3,Agha Khan University Hospital,0,1
Multi-Disciplinary Rawalpindi,4,Shoukat Khanum M Hospital,0,1
Multi-Disciplinary Rawalpindi,5,Shoukat Khanum M Hospital,0,1
Multi-Disciplinary Rawalpindi,6,Shifa International,0,1
Multi-Disciplinary Rawalpindi,7,E-Shifa,0,1
Multi-Disciplinary Rawalpindi,8,All Medical Centre,0,1
Multi-Disciplinary Rawalpindi,9,Quaid-e-Azam International Hospital,0,1
Multi-Disciplinary Rawalpindi,10,Rehman Medical Institute,0,1
Multi-Disciplinary Rawalpindi,11,Hameed Latif Hospital,0,1
Multi-Disciplinary Rawalpindi,12,Hearts International,0,1
Multi-Disciplinary Rawalpindi,13,Doctors Hospital,0,1
Multi-Disciplinary Rawalpindi,14,Kulsum International Hospital,0,1
Multi-Disciplinary Rawalpindi,15,Medikay Cardiac Center,0,1
Multi-Disciplinary Rawalpindi,16,Bahria International Hospital,0,1
Multi-Disciplinary Rawalpindi,17,MMC General Hospital,0,1
Multi-Disciplinary Rawalpindi,18,Northwest General Hospital,0,1
Multi-Disciplinary Rawalpindi,19,South City Hospital,0,1
Multi-Disciplinary Rawalpindi,20,Tabba Heart Institute,0,1
Multi-Disciplinary Rawalpindi,21,Irfan General Hospital,0,1
Multi-Disciplinary Rawalpindi,22,Dr. Zia uddin Hospital,0,1
Multi-Disciplinary Rawalpindi,23,Peshawar Institute of Medical Sciences,0,1
Multi-Disciplinary Rawalpindi,24,Hair Transplant Institute,0,1
Multi-Disciplinary Rawalpindi,25,Cosmetic Expert Clinic,0,1
Multi-Disciplinary Rawalpindi,26,Concept Fertility Clinic,0,1
Multi-Disciplinary Rawalpindi,27,NIBD & BMT,0,1
Multi-Disciplinary Rawalpindi,28,Prime Teaching Hospital,0,1
Multi-Disciplinary Rawalpindi,29,Horizon,0,1
Multi-Disciplinary Rawalpindi,30,Dr. Zia uddin Hospital,0,1
Medical Rawalpindi,1,Pak Emirates Military Hospital (PEMH),0,1
Medical Rawalpindi,2,MedAsk Tours,1,1
Medical Rawalpindi,3,Agha Khan University Hospital,0,1
Medical Rawalpindi,4,Shoukat Khanum M Hospital,0,1
Medical Rawalpindi,5,Shoukat Khanum M Hospital,0,1
Medical Rawalpindi,6,Shifa International,0,1
Medical Rawalpindi,7,E-Shifa,0,1
Medical Rawalpindi,8,All Medical Centre,0,1
Medical Rawalpindi,9,Quaid-e-Azam International Hospital,0,1
Medical Rawalpindi,10,Rehman Medical Institute,0,1
Medical Rawalpindi,11,Hameed Latif Hospital,0,1
Medical Rawalpindi,12,Hearts International,0,1
Medical Rawalpindi,13,Doctors Hospital,0,1
Medical Rawalpindi,14,Kulsum International Hospital,0,1
Medical Rawalpindi,15,Medikay Cardiac Center,0,1
Medical Rawalpindi,16,Bahria International Hospital,0,1
Medical Rawalpindi,17,MMC General Hospital,0,1
Medical Rawalpindi,18,Northwest General Hospital,0,1
Medical Rawalpindi,19,South City Hospital,0,1
Medical Rawalpindi,20,Tabba Heart Institute,0,1
Medical Rawalpindi,21,Irfan General Hospital,0,1
Medical Rawalpindi,22,Dr. Zia uddin Hospital,0,1
Medical Rawalpindi,23,Peshawar Institute of Medical Sciences,0,1
Medical Rawalpindi,24,Hair Transplant Institute,0,1
Medical Rawalpindi,25,Cosmetic Expert Clinic,0,1
Medical Rawalpindi,26,Concept Fertility Clinic,0,1
Medical Rawalpindi,27,NIBD & BMT,0,1
Medical Rawalpindi,28,Prime Teaching Hospital,0,1
Medical Rawalpindi,29,Horizon,0,1
Medical Rawalpindi,30,Dr. Zia uddin Hospital,0,1
Tourism Rawalpindi,1,Pak Emirates Military Hospital (PEMH),0,1
Tourism Rawalpindi,2,MedAsk Tours,1,1
Tourism Rawalpindi,3,Agha Khan University Hospital,0,1
Tourism Rawalpindi,4,Shoukat Khanum M Hospital,0,1
Tourism Rawalpindi,5,Shoukat Khanum M Hospital,0,1
Tourism Rawalpindi,6,Shifa International,0,1
Tourism Rawalpindi,7,E-Shifa,0,1
Tourism Rawalpindi,8,All Medical Centre,0,1
Tourism Rawalpindi,9,Quaid-e-Azam International Hospital,0,1
Tourism Rawalpindi,10,Rehman Medical Institute,0,1
Tourism Rawalpindi,11,Hameed Latif Hospital,0,1
Tourism Rawalpindi,12,Hearts International,0,1
Tourism Rawalpindi,13,Doctors Hospital,0,1
Tourism Rawalpindi,14,Kulsum International Hospital,0,1
Tourism Rawalpindi,15,Medikay Cardiac Center,0,1
Tourism Rawalpindi,16,Bahria International Hospital,0,1
Tourism Rawalpindi,17,MMC General Hospital,0,1
Tourism Rawalpindi,18,Northwest General Hospital,0,1
Tourism Rawalpindi,19,South City Hospital,0,1
Tourism Rawalpindi,20,Tabba Heart Institute,0,1
Tourism Rawalpindi,21,Irfan General Hospital,0,1
Tourism Rawalpindi,22,Dr. Zia uddin Hospital,0,1
Tourism Rawalpindi,23,Peshawar Institute of Medical Sciences,0,1
Tourism Rawalpindi,24,Hair Transplant Institute,0,1
Tourism Rawalpindi,25,Cosmetic Expert Clinic,0,1
Tourism Rawalpindi,26,Concept Fertility Clinic,0,1
Tourism Rawalpindi,27,NIBD & BMT,0,1
Tourism Rawalpindi,28,Prime Teaching Hospital,0,1
Tourism Rawalpindi,29,Horizon,0,1
Tourism Rawalpindi,30,Dr. Zia uddin Hospital,0,1
Cardiology Karachi,1,Pak Emirates Military Hospital (PEMH),0,1
Cardiology Karachi,2,MedAsk Tours,0,1
Cardiology Karachi,3,Agha Khan University Hospital,1,1
Cardiology Karachi,4,Shoukat Khanum M Hospital,0,1
Cardiology Karachi,5,Shoukat Khanum M Hospital,0,1
Cardiology Karachi,6,Shifa International,0,1
Cardiology Karachi,7,E-Shifa,0,1
Cardiology Karachi,8,All Medical Centre,0,1
Cardiology Karachi,9,Quaid-e-Azam International Hospital,0,1
Cardiology Karachi,10,Rehman Medical Institute,0,1
Cardiology Karachi,11,Hameed Latif Hospital,0,1
Cardiology Karachi,12,Hearts International,0,1
Cardiology Karachi,13,Doctors Hospital,0,1
